Scraped At,Section,Product Name,Price,Rating,Image URL,Product URL
2/12/2026 16:37,Accessories,Blubby Multi Clutcher ( Pack of 1 ),Rs. 213,4,https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-1-b6caf.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/blubby-multi-clutcher-pack-of/654875721473#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,Kitchen Shelf Storage Rack Self Adhesive Traceless Rectangular Box Organizer Plastic Hanging Toilet Bathroom Desktop Wall Mount No Driling Required (Multicolor),Rs. 131,4,https://g.sdlcdn.com/imgs/j/m/u/Kitchen-Shelf-Storage-Rack-Self-SDL772480286-1-ac133.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitchen-shelf-storage-rack-self/651274312796#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,AUTOGROOMZ Windshield Only Double Clamp Car Mobile Holder - Black,Rs. 217,3.8,https://g.sdlcdn.com/imgs/k/w/5/AUTOGROOMZ-Windshield-Only-Double-Clamp-SDL331657889-1-6f1a8.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/autogroomz-windshield-only-double-clamp/678247143730#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,GEEO Accu Pressure Bead Back / Lumbar Support Single Black,Rs. 223,4,https://g.sdlcdn.com/imgs/k/v/q/GEEO-Accu-Pressure-Bead-Back-SDL682432476-1-8bcf1.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/geeo-accu-pressure-bead-back/643142550900#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,CRAYLUXE Accu Pressure Bead Back / Lumbar Support Single Black,Rs. 538,3.8,https://g.sdlcdn.com/imgs/l/e/h/CRAYLUXE-Accu-Pressure-Bead-Back-SDL929709189-1-2eb17.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/crayluxe-accu-pressure-bead-back/628897968660#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,QitmirMKT NEW KEYCHAIN LIGHTER WITH HIGH POWER LIGHT Multicolor Multipurpose Car Cigarette Lighter ( Pack of 1 ),Rs. 238,3.9,https://g.sdlcdn.com/imgs/k/z/z/QitmirMKT-NEW-KEYCHAIN-LIGHTER-WITH-SDL842601792-1-0ac07.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/qitmirmkt-new-keychain-lighter-with/658039144835#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,AKSMIT Dashboard Fan Black,Rs. 508,4.5,https://g.sdlcdn.com/imgs/k/5/t/AKSMIT-Dashboard-Fan-Black-SDL731283845-1-5a024.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/aksmit-dashboard-fan-black/635658424530#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,"5 In 1 Multi Pin Universal Portable Adapter And Car Mobile Charging Cable For (iPhone,Type C and Micro USB)",Rs. 254,4,https://g.sdlcdn.com/imgs/k/f/a/thriftkart-Car-Mobile-Charger-5-SDL376988961-1-2cf91.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/thriftkart-car-mobile-charger-5/643705858919#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,"GEEO Universal Car Steering Knob, Car Steering Wheel Knob, Steering Wheel Spinner Knob, 360° Rotation Booster (3R Original)",Rs. 331,4.1,https://g.sdlcdn.com/imgs/k/x/s/GEEO-Universal-Car-Steering-Knob-SDL910671069-1-2d729.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/geeo-universal-car-steering-knob/662067935118#bcrumbSearch:accessories
2/12/2026 16:37,Accessories,"delhideals Indian Flag for Car Dashboard, Office Table, Study Table & Drawing Table",Rs. 195,4.2,https://g.sdlcdn.com/imgs/j/n/m/delhideals-Others-In-Car-Decor-SDL063163576-1-e1f7d.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/delhideals-others-in-car-decor/622548856924#bcrumbSearch:accessories
2/12/2026 16:37,Footwear,AROTEK Grey Men's Daily Slipper,Rs. 191,4.2,https://g.sdlcdn.com/imgs/l/a/g/AROTEK-Grey-Men-s-Daily-SDL892096973-1-57e53.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/arotek-grey-mens-daily-slipper/664150090808#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,Xtoon Grey Men's Outdoor Shoes,Rs. 498,3.7,https://g.sdlcdn.com/imgs/k/x/q/Xtoon-Grey-Men-s-Outdoor-SDL797293333-1-384e9.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/xtoon-grey-mens-outdoor-shoes/664057051788#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,Cozy Wear Black Men's Daily Slipper,Rs. 183,4.1,https://g.sdlcdn.com/imgs/l/b/z/Cozy-Wear-Black-Men-s-SDL893990104-1-75a6c.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/cozy-wear-black-mens-daily/627242744127#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,Citipiti ind. Green Women's Flats,Rs. 208,4.3,https://g.sdlcdn.com/imgs/l/c/s/Citipiti-ind-Green-Women-s-SDL810879002-1-a25ce.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/citipiti-ind-green-womens-flats/630619963366#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,Dream Makers - Black Women's Sandal Heels,Rs. 407,4.1,https://g.sdlcdn.com/imgs/k/o/w/Dream-Makers-Black-Women-s-SDL708945551-1-5cc79.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/dream-makers-black-womens-sandal/619352068677#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,PERY PAO Blue Men's Slide Flip Flop,Rs. 226,4.1,https://g.sdlcdn.com/imgs/k/v/u/PERY-PAO-Blue-Men-s-SDL716779795-1-b10aa.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/pery-pao-blue-mens-slide/619453211136#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,YOU LIkE Brown Men's Derby Formal Shoes,Rs. 693,4.2,https://g.sdlcdn.com/imgs/k/n/y/YOU-LIkE-Brown-Men-s-SDL886240398-1-f336f.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/you-like-brown-mens-derby/669280219739#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,FUSEOWL Maroon Women's Flip Flop,Rs. 171,4.2,https://g.sdlcdn.com/imgs/k/y/y/FUSEOWL-Maroon-Women-s-Flip-SDL657286690-1-b6bb8.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/fuseowl-maroon-womens-flip-flop/623019124415#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,Cozy Wear Brown Men's Daily Slipper,Rs. 193,4.1,https://g.sdlcdn.com/imgs/k/3/f/Cozy-Wear-Brown-Men-s-SDL005011830-1-0322f.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/cozy-wear-brown-mens-daily/6917529705592538103#bcrumbSearch:footwear
2/12/2026 16:37,Footwear,YNP Design Collections Brown Women's Ethnic Ballerinas,Rs. 411,4.4,https://g.sdlcdn.com/imgs/l/d/1/YNP-Design-Collections-Brown-Women-SDL179726283-1-b5ab0.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/ynp-design-collections-brown-womens/650954141423#bcrumbSearch:footwear
2/12/2026 16:37,Men Clothing,TAZO Nylon Men's Casual Jacket - Grey ( Pack of 1 ),Rs. 424,4,https://g.sdlcdn.com/imgs/l/a/4/TAZO-Nylon-Men-s-Casual-SDL609898255-1-2d32d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/tazo-nylon-mens-casual-jacket/8070451169561502837#bcrumbSearch:men%20clothing
